,brand,category,gender,image,link,name,price
0,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=831940_013,http://store.nike.com/us/en_us/pd/mercurial-superfly-v-mens-firm-ground-soccer-cleat/pid-11155800/pgid-11043487,Nike Mercurial Superfly V FG,$300
1,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=747213_017,http://store.nike.com/us/en_us/pd/hypervenom-phantom-ii-mens-firm-ground-soccer-cleat/pid-11155107/pgid-11165789,Nike Hypervenom Phantom II FG,$275
2,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=844595_018,http://store.nike.com/us/en_us/pd/magista-obra-ii-mens-firm-ground-soccer-cleat/pid-11156417/pgid-11228689,Nike Magista Obra II FG,$300
3,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=819177_018,http://store.nike.com/us/en_us/pd/tiempo-legend-vi-mens-firm-ground-soccer-cleat/pid-11155502/pgid-11610976,Nike Tiempo Legend VI FG,$210
4,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=831958_013,http://store.nike.com/us/en_us/pd/mercurial-vapor-xi-mens-firm-ground-soccer-cleat/pid-11155828/pgid-11043931,Nike Mercurial Vapor XI FG,$230
5,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=749896_017,http://store.nike.com/us/en_us/pd/hypervenom-phelon-ii-mens-firm-ground-soccer-cleat/pid-11155252/pgid-10262947,Nike Hypervenom Phelon II FG,$75
6,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=843813_018,http://store.nike.com/us/en_us/pd/magista-opus-ii-mens-firm-ground-soccer-cleat/pid-11156148/pgid-11153722,Nike Magista Opus II,$230
7,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=819218_018,http://store.nike.com/us/en_us/pd/tiempo-legacy-ii-mens-firm-ground-soccer-cleat/pid-11155531/pgid-10340480,Nike Tiempo Legacy II FG,$120
8,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=831976_034,http://store.nike.com/us/en_us/pd/mercurialx-proximo-ii-mens-indoor-court-soccer-shoe/pid-11155861/pgid-11455604,Nike MercurialX Proximo II IC,$175
9,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=749887_014,http://store.nike.com/us/en_us/pd/hypervenomx-finale-ii-mens-indoor-court-soccer-shoe/pid-11155239/pgid-10262915,Nike HypervenomX Finale II IC,$100
10,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=843957_084,http://store.nike.com/us/en_us/pd/magistax-proximo-ii-mens-indoor-court-soccer-shoe/pid-11156186/pgid-11149176,Nike MagistaX Proximo II IC,$175
11,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=843961_070,http://store.nike.com/us/en_us/pd/tiempox-proximo-men%E2%80%99s-indoor-court-soccer-shoe/pid-11156193/pgid-11162226,Nike TiempoX Proximo IC,$140
12,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=831977_034,http://store.nike.com/us/en_us/pd/mercurialx-proximo-ii-mens-turf-soccer-shoe/pid-11155864/pgid-11455525,Nike MercurialX Proximo II TF,$175
13,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=749888_014,http://store.nike.com/us/en_us/pd/hypervenomx-finale-ii-street-mens-turf-soccer-shoe/pid-11155242/pgid-10262919,Nike HyperVenomX Finale II Street TF,$100
14,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=843958_084,http://store.nike.com/us/en_us/pd/magistax-proximo-ii-mens-turf-soccer-shoe/pid-11156189/pgid-11149175,Nike MagistaX Proximo II TF,$175
15,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=843962_070,http://store.nike.com/us/en_us/pd/tiempox-proximo-men%E2%80%99s-turf-soccer-shoe/pid-11156196/pgid-11267953,Nike TiempoX Proximo TF,$150
16,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=847756_013,http://store.nike.com/us/en_us/pd/mercurial-veloce-iii-mens-firm-ground-soccer-cleat/pid-11160511/pgid-11610985,Nike Mercurial Veloce III FG,$110
17,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=747214_017,http://store.nike.com/us/en_us/pd/hypervenom-phatal-ii-dynamic-fit-mens-firm-ground-soccer-cleat/pid-11155109/pgid-10262895,Nike Hypervenom Phatal II Dynamic Fit FG,$170
18,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=843812_018,http://store.nike.com/us/en_us/pd/magista-orden-ii-mens-firm-ground-soccer-cleat/pid-11156146/pgid-11149189,Nike Magista Orden II FG,$170
19,Nike,cleats,m,http://images.nike.com/is/image/DotCom/pwp_sheet2?$NIKE_PWPx3$&$img0=819236_018,http://store.nike.com/us/en_us/pd/tiempo-mystic-v-mens-firm-ground-soccer-cleat/pid-11155548/pgid-10340466,Nike Tiempo Mystic V FG,$85
20,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/848234883.tif&$img1=ugc/404565715.tif&$img2=ugc/682455907.tif,http://store.nike.com/us/en_us/product/mercurial-superfly-v-tech-craft-id/?piid=43425&pbid=848234883#?pbid=848234883,Nike Mercurial Superfly V Tech Craft iD,$355
21,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/169877794.tif&$img1=ugc/669319464.tif&$img2=ugc/200694473.tif,http://store.nike.com/us/en_us/product/hypervenom-phantom-ii-tech-craft-id/?piid=43424&pbid=169877794#?pbid=169877794,Nike Hypervenom Phantom II Tech Craft iD,$315
22,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/216150465.tif&$img1=ugc/826902380.tif&$img2=ugc/758846618.tif,http://store.nike.com/us/en_us/product/magista-obra-ii-tech-craft-id/?piid=43423&pbid=216150465#?pbid=216150465,Nike Magista Obra II Tech Craft iD,$355
23,Nike,cleats,m,http://ugc.nikeid.com/is/image/nike/pwp_sheet_prem?$NIKE_PWPx3$&$img0=ugc/1045970935.tif&$img1=ugc/1018608307.tif&$img2=ugc/954688133.tif,http://store.nike.com/us/en_us/product/mercurial-vapor-xi-tech-craft-id/?piid=43426&pbid=1045970935#?pbid=1045970935,Nike Mercurial Vapor XI Tech Craft iD,$285
